,Classification,Name,Prefix,First,Middle,Last,Suffix,Address 1,Address 2,Address 3,Address 4,City,State / Province,Country,Zip Code,DUNS,Exclusion Program,Excluding Agency,CT Code,Exclusion Type,Additional Comments,Active Date,Termination Date,Record Status,Cross-Reference,SAM Number,CAGE,NPI
19632,Individual,,,CHRISTIAN,E.,HANSEN,JR.,,,,,BONITA,CA,USA,91902,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 530 and 543 Lawrence Ave., Grand Junction, CO 81505 (Violating Facility)",10/21/1992,Indefinite,,,S4MR3P8PY,,
19645,Individual,,,CHRISTIAN,,PERRY,,,,,,NORTH OLMSTED,OH,USA,44070,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Techniplate, Inc., 700 E. 163rd St., Cleveland, OH 44110 (Violating Facility)",05/31/2005,Indefinite,,,S4MR3PMBZ,,
20175,Individual,,,CHRISTOPHER,,ARADER,,,,,,WEST CONSHOHOCKEN,PA,USA,19428,,Reciprocal,EPA,H,Prohibition/Restriction," Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at Violating Facility Only, Arader Tree Service, Inc. (Violating Facility), 10 Balligomingo Rd., West Conshohocken, PA 19428, Christopher Arder, 1151 Second Ave., Upper Providence Township, PA",07/12/1999,Indefinite,,,S4MR3N9L6,,
20315,Individual,,,CHRISTOPHER,,GARRITY,,,,,,LEEDS,ME,USA,04263,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Water Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Grimmel Industries, LLC, 555 Market Street, Portsmouth NE 03801 (Violating Facility). The Clean Water Act (33 U.S.C. 1368) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Water Act (33 U.S.C. 1319(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Water Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",02/02/2016,Indefinite,,,S4MR52YL0,,
20355,Individual,,,CHRISTOPHER,WILLIAM,HORTON,,,,,,BRADFORD,PA,USA,16701,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only:  Allegheny National Forest, 4 Farm Colony Dr., Lot 2W, Lot 2E, and Lot 7W, Warren, PA 16365 (Violating Facility).",06/22/2009,Indefinite,,,S4MR3QGN9,,
20430,Individual,,,CHRISTOPHER,DALE,MILLER,,,,,,CARY,NC,USA,27511,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,12/09/2016,Indefinite,,,S4MR5C22G,,
20474,Individual,,,CHRISTOPHER,,PETITTE,,,,,,MORGANTOWN,WV,USA,26505,,Reciprocal,EPA,H,Prohibition/Restriction," Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at Violating Facility Only: Sandridge Coal Company (Violating Facility) 887 Vandalia St., P.O. Box 1623, Morgantown, WV 26505",08/08/1997,Indefinite,,,S4MR3N6TH,,
20534,Individual,,,CHRISTOPHER,,SRUBAR,,,,,,DESTREHAN,LA,USA,70047,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,03/11/2016,Indefinite,,,S4MR5051F,,
20551,Individual,,,CHRISTOPHER,,TATE,,,,,,HOLLIDAYSBURG,PA,USA,16648,,Reciprocal,EPA,R,Ineligible (Proceedings Completed),,06/10/1999,07/27/2017,,"(also SAFETY MANAGEMENT INSTITUTE, INC.)",S4MR3NFR1,,
20671,Individual,,,CHUCK,,SIVIL,,,,,,VALLEJO,CA,USA,94590,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-ineligible for awards to be performed at this Facility Only: (Violating Facility) Shore Terminals, LLC, Selby Bulk Fuel Terminal, 90 San Pablo Avenue, Crockett, CA 94525",03/05/2010,Indefinite,,(also CHARLES SIVIL),S4MR3Q3Q2,,
20722,Individual,,,CIHAN,,ZORLUOGLU,,,,,,BREWSTER,NY,USA,10509,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: C&C Design Build Construction, LLC, 4 Otha Drive, Katonah, NY 10536 (Violating Facility)  The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",02/29/2012,Indefinite,,,S4MR3R8JW,,
20947,Individual,,,CLARENCE,,COLE,,,,,,PHILADELPHIA,PA,USA,19126,,Reciprocal,EPA,,Prohibition/Restriction,,07/10/2013,Indefinite,,(also GENE SMITH),S4MR4DFCM,,
21038,Individual,,,CLARY,P.,FOOTE,,,,,,,XX,USA,,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Facility Only: Harriman Power Company (Violating Facility) Harriman, TN 37748",06/19/2002,Indefinite,,,S4MR3N3CW,,
21047,Individual,,,CLAUDE,H.,GEHMAN,,,,,,,XX,USA,,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-  ineligible for awards to be performed at this Facility Only: Ocean Reef Club, Inc., State Road 905, Key Largo, FL (Violating Facility)",10/22/1986,Indefinite,,"(also OCEAN REEF CLUB, INC., MARK MALKA)",S4MR3PQSP,,
21212,Individual,,,CLEVE,ALLAN,GEORGE,,,,,,ST. THOMAS,VI,USA,008040035,,Reciprocal,EPA,H,Prohibition/Restriction,"FOR CT CODE H ONLY: Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Virgin Islands Asbestos Removal Company a/k/a VIARCO, Number 4 Kronprindsens Gade, St. Thomas, USVI 00804 (Violating Facility)",02/26/2008,Indefinite,,,S4MR3PTGS,,
21227,Individual,,,CLIFFORD,,CHENG,,,,,,SOUTH SAN FRANCISCO,CA,USA,94080,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 22455 Maple Ct. and 22336 Main St., Hayward, CA 94541 (Violating Facility) ",10/13/2004,Indefinite,,"(also CHENG, CHOW AND CHU, INC.)",S4MR3PZK7,,
21280,Individual,,,CLIFTON,P,KARR,,,,,,AMITE,LA,USA,704222824,,Reciprocal,EPA,,Prohibition/Restriction,,02/08/2012,Indefinite,,"(also OAKMONT ENVIRONMENTAL, INC.)",S4MR48N82,,
21317,Individual,,,CLINTON,J.,MATTHEWS,,,,,,DURHAM,NC,USA,27707,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 2320 E. Club Blvd., Durham, NC  27704 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",09/03/2014,Indefinite,,,S4MR4TKFT,,
21326,Individual,,,CLINTON,,PROMISE,,,,,,BAYTOWN,TX,USA,77520,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,06/17/2016,06/16/2019,,,S4MR53FDH,,
21351,Individual,,,CLYDE,,BISHOFF,,,,,,BRUCETON MILLS,WV,USA,26525,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: T & T Fuels Inc, Coal Mines T & T No.2, and T & T No.3, Albright, Preston County, WV (Violating Facility) ",01/18/1996,Indefinite,,,S4MR3NVJX,,
21382,Individual,,,CODY,MONTGOMERY,TUMA,,,,,,SHREVEPORT,LA,USA,71105,,Reciprocal,EPA,,Prohibition/Restriction,,06/20/2012,Indefinite,,,S4MR4DWTZ,,
21383,Individual,,,CODY,,TUMA,,,,,,SHREVEPORT,LA,USA,71105,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,09/23/2014,09/22/2017,,(also JOHN TUMA),S4MR4H03W,,
21596,Individual,,,CONNIE,M.,KNIGHT,,,,,,MARIANNA,FL,USA,32447,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,10/31/2013,10/30/2023,,"(also CONNIE MILTON, CONNIE SMITH)",S4MR4BWKY,,
21608,Individual,,,CONNIE,,MILTON,,,,,,MARIANNA,FL,USA,32447,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,10/31/2013,10/30/2023,,"(also CONNIE KNIGHT, CONNIE SMITH)",S4MR4BWLC,,
21629,Individual,,,CONNIE,,SMITH,,,,,,MARIANNA,FL,USA,32447,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,10/31/2013,10/30/2023,,"(also CONNIE KNIGHT, CONNIE MILTON)",S4MR4BWLD,,
21830,Individual,,,COREY,,BEARD,,,,,,EASTANOLLE,GA,USA,30538,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: SCS Field Services, Inc., 190 Swilling Road, Eastanolle, GA 30538 (Violating Facility) The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",06/14/2011,Indefinite,,"(also JUSTIN JOYNER, DANIEL ARNOT)",S4MR3RFYP,,
21932,Individual,,,CORNELL,,SMITH,,,,,,FORT DIX,NJ,USA,08640,,Reciprocal,EPA,,Prohibition/Restriction,,11/19/2013,Indefinite,,(also GENE SMITH),S4MR4DFC2,,
21966,Individual,,,CORY,LEE,HAMMOND,,,,,,PORTAGE,MI,USA,49002,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: B&B Enterprises and Environmental, LLC, 6800 East Michigan Avenue, Kalamazoo, MI  49048 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",10/28/2015,Indefinite,,"(also ROBERT WHITE, LUANNE LABRIE, LUANNE MCCLAIN)",S4MR50F3S,,
21990,Individual,,,COURTNEY,,AESCHLIMAN,,,,,,LANCASTER,MO,USA,63548,,Reciprocal,EPA,,Prohibition/Restriction,,06/22/2012,Indefinite,,,S4MR482RG,,
22077,Individual,,,CRAIG,,DAVIDSON,,,,,,NAZARETH,PA,USA,180649662,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act and Clean Water Act violations: Ineligible for awards to be performed at this Facility Only: McWane Inc., Atlantic States Cast Iron Company, 183 Sitgreaves St., Phillipsburg, NJ 08865(Violating Facility) ",04/23/2009,Indefinite,,,S4MR3PQ18,,
22171,Individual,,,CRAIG,E.,SMITH,,,,,,CHERRY HILL,NJ,USA,08003,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: C.W.S. Industries, Inc., 726-C Kaighns Ave., Camden, NJ 08103 (Violating Facility)",02/24/2003,Indefinite,,,S4MR3MTPH,,
22275,Individual,,,CROSS,,"NICASTRO, II",,,,,,RAY BROOK,NY,USA,12977,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,07/28/2015,07/27/2018,,"(also MAZZA AND SONS INC, DOMINICK MAZZA, DONALD TORRIERO, JULIUS DESIMONE)",S4MR4NMHV,,
22457,Individual,,,CURTIS,,COLLINS,,,,,,WILLSBORO,NY,USA,129964923,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation-ineligible for awards to be performed at this Facility Only:(Violating Facility) J&W Construction, 496 Rugar St., Plattsburgh, NY 12901",03/10/2010,Indefinite,,"(also MARK DESNOYERS, JOHN WOOD)",S4MR3Q3Q4,,
22460,Individual,,,CURTIS,,DANTIN,,,,,,CUT OFF,LA,USA,70345,,Reciprocal,EPA,,Ineligible (Proceedings Pending),,03/11/2016,Indefinite,,(also GRAND ISLE SHIPYARD INC.),S4MR5054R,,
22472,Individual,,,CURTIS,,HOFFMAN,,,,,,CHARLESTON,WV,USA,,,Reciprocal,EPA,H,Prohibition/Restriction," Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at Violating Facility Only:  Hoffman Metal Finishing, Inc., (Violating Facility) 454 Whitestick St., Mabscot, WV 25871",07/06/1999,Indefinite,,,S4MR3NCVM,,
22854,Individual,,,CYNTHIA,,PLACKO-MOORE,,,,,,DALLAS,TX,USA,75234,,Reciprocal,EPA,R,Ineligible (Proceedings Completed),,03/09/1994,03/08/2044,,"(also NET GULF COAST, INC., JOAN LUTKENHAUS)",S4MR3Q94Y,,
22855,Individual,,,CYNTHIA,,PLACKO-MOORE,,,,,,DALLAS,TX,USA,75234,,Reciprocal,EPA,A,Ineligible (Proceedings Completed),,03/09/1994,03/08/2044,,"(also NET GULF COAST, INC., JOAN LUTKENHAUS)",S4MR3Q94Y,,
22903,Individual,,,CYNTHIA,A.,SHELDON,,,,,,ATLANTA,GA,USA,,,NonProcurement,EPA,X,Prohibition/Restriction,,,Indefinite,,"(also POLYMER CHEMICALS, INC., X CHEM, INC., POLYMER GROUP, LTD., POLYMER INDUSTRIES, INC., GAMETRONICS CORP., GREDIG INDUSTRIES, INC., ALAN GRANT)",S4MR3NNN4,,
23002,Individual,,,CYRIL,D.,ROBICHEAUX,,,,,,MORGAN CITY,LA,USA,70380,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,11/25/2015,11/24/2018,,"(also RAYMOND MARCEL, ROGER DIES, RAM ENVIRONMENTAL, MICHAEL VAUGH, SOUTHERN PLAINS, INC.)",S4MR4YP19,,
23035,Individual,,,D.J.,,COOPER,,,,,,ROANOKE,VA,USA,24018,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Hardy Road Trailer Park, 5885 Bent Mountain Rd., Roanoke, VA 24018 (Violating Facility) ",09/07/2005,Indefinite,,,S4MR3QJW5,,
23131,Individual,,,DALE,WALTER,CICH,,,,,,DULUTH,MN,USA,55085,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 5197 LaVaque Rd., St. Louis County, MN 55803 (Violating Facility)",02/20/2003,Indefinite,,,S4MR3MT2V,,
23158,Individual,,,DALE,,JACOBSEN,,,,,,COLUMBIA FALLS,MT,USA,59912,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: Dale Jacobsen/ J&M Septic Pumping, 915 Vans Ave., Columbia Falls, MT 59912  (Violating Facility)",08/02/2007,Indefinite,,,S4MR3PTQP,,
23164,Individual,,,DALE,J.,MILLS,,,,,,GAINESVILLE,FL,USA,32605,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 3525 Northwest 30th Pl., Gainesville, FL 32605 (Violating Facility)",03/11/1992,Indefinite,,"(also DALE J. MILLS AND ASSOCIATES, INC., SIDNEY HOLM)",S4MR3Q7TG,,
23182,Individual,,,DALE,,SCHUMACHER,,,,,,JACKSON,MO,USA,63755,,Reciprocal,EPA,H,Prohibition/Restriction," Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Violating Facility Only:  Unistar Corporation Facility, 100 West Independence St., Jackson, MO 63755 (Violating Facility)",06/27/2000,Indefinite,,,S4MR3NBBZ,,
23215,Individual,,,DALLAS,L.,BURTON,,,,,,COLUMBUS,OH,USA,43223,,Reciprocal,EPA,H,Prohibition/Restriction,"The individual was convicted of Clean Water Act violation and is ineligible for awards to be performed at this Violating Facility Only: Burton Metal Finishing, Inc., 1711 Woodland Ave., Columbus, OH 43219 (Violating Facility)",06/09/2000,Indefinite,,,S4MR3QJV6,,
23262,Individual,,,DAMIAN,,LAROSA,,,,,,HATBORO,PA,USA,19040,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: 3405 Byberry Rd., Hatboro, PA 19040 (Violating Facility)",11/12/2002,Indefinite,,,S4MR3MY56,,
23285,Individual,,,DAMON,ANTHONY,SILVA,,,,,,SAN DIEGO,CA,USA,,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: FV Kathryn Ann, G St. Pier, San Diego Harbor, San Diego, CA (Violating Facility)",05/30/2008,Indefinite,,,S4MR3Q4TR,,
23490,Individual,,,DANH,CONG,TRAN,,,,,,ARLINGTON,TX,USA,76002,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Cruzin State Inspections, 800 Peach Street, Arlington, TX  76011 (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",09/05/2012,Indefinite,,,S4MR4JB00,,
23510,Individual,,,DANIEL,,ARGIL,,,,,,HOUSTON,TX,USA,77074,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: National Service Cleaning Corporation or LVI, 4935 Allison St., Unit 10, Arvada, CO 80002 (Violating Facility)",11/19/2003,Indefinite,,,S4MR3QJ8P,,
23516,Individual,,,DANIEL,,ARNOT,,,,,,EASTONOLLE,GA,USA,30538,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: 3903 Liberty Hill Road, Eastanolle, GA 30538 (Violating Facility) The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",06/14/2011,Indefinite,,"(also JUSTIN JOYNER, COREY BEARD)",S4MR3RFYN,,
23520,Individual,,,DANIEL,W.,AXE,,,,,,DUGGER,IN,USA,47848,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Facility Only: Swan Service Station (Violating Facility), State Route 54E, Dugger, IN 47848",09/19/2001,Indefinite,,,S4MR3N112,,
23537,Individual,,,DANIEL,ALBERT,BLACK,,,,,,PORT ORANGE,FL,USA,33128,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act Violation- INELIGIBLE FOR AWARDS TO BE PERFORMED AT THESE FACILITIES ONLY: Blackstone Business Enterprises, Inc., 100 Blackstone Ave and 68 Blackstone Ave., Jamestown, NY 14701 (Violating Facilities)  ",03/01/2011,Indefinite,,"(also BLACKSTONE BUSINESS ENTERPRISES, INC., DANIEL A. BLACK, LLC)",S4MR3RHG6,,
23538,Individual,,,DANIEL,ALBERT,BLACK,,,,,,PORT ORANGE,FL,USA,33128,,Reciprocal,EPA,,Prohibition/Restriction,"Convicted of Clean Air Act Violation- INELIGIBLE FOR AWARDS TO BE PERFORMED AT THESE FACILITIES ONLY: Blackstone Business Enterprises, Inc., 100 Blackstone Ave and 68 Blackstone Ave., Jamestown, NY 14701 (Violating Facilities)  The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT.  ",07/20/2011,Indefinite,,"(also BLACKSTONE BUSINESS ENTERPRISES, INC., DANIEL A. BLACK, LLC)",S4MR3RHG6,,
23567,Individual,,,DANIEL,A,BURNETTE,,,,,,PETERSBURG,OH,USA,44454,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Water Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Honey Creek Contracting Co., 11640 S. State Line Road, Petersburg, OH 44454 (Violating Facility). The Clean Water Act (33 U.S.C. 1368) forbids any federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Water Act (33 U.S.C. 1319(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Water Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT. ",12/10/2010,Indefinite,,,S4MR3RF5W,,
23581,Individual,,,DANIEL,WEBSTER,CASON,,,,,,DEARING,GA,USA,30808,,Reciprocal,EPA,,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Facility Only: City of Harlem, Georgia Wastewater Treatment Plant, 700 North Lousville Street, Harlem, GA 30814.",11/20/2008,Indefinite,,,S4MR3Q411,,
23582,Individual,,,DANIEL,WEBSTER,CASON,,,,,,DEARING,GA,USA,30808,,Reciprocal,EPA,H,Prohibition/Restriction,"Convicted of Clean Air Act or Clean Water Act violation - ineligible for awards to be performed at this Facility Only: City of Harlem, Georgia Wastewater Treatment Plant, 700 North Lousville Street, Harlem, GA 30814.",12/01/2009,Indefinite,,,S4MR3Q411,,
23595,Individual,,,DANIEL,,CLEMENTS,,,,,,BAY CITY,MI,USA,48706,,Reciprocal,EPA,,Prohibition/Restriction,,02/13/2012,Indefinite,,,S4MR480GS,,
23607,Individual,,,DANIEL,,CUMMINGS,,,,,,ALPINE,CA,USA,91901,,Reciprocal,EPA,H,Prohibition/Restriction,"FOR CT CODE H ONLY: Convicted of Clean Air Act or Clean Water Act violation- ineligible for awards to be performed at this Facility Only: American Metal Processing Inc., 390 Front St., El Cajon, CA 92020-4206 (Violating Facility) ",03/29/2007,Indefinite,,,S4MR3PLSQ,,
23618,Individual,,,DANIEL,BYRON,DERRINGER,JR,,,,,LAKE WORTH,FL,USA,33461,,Reciprocal,EPA,,Ineligible (Proceedings Completed),,08/24/2011,06/29/2017,,"(also CHAZ EQUIPMENT COMPANY, INC., CCW 3120 FFRD LLC, GRIFFIN, DEE EARTHWORKS INC, DEER PATH LANE LLC, CHAZ EQUIPMENT CO INC, CHAZ EQUIPMENT CO INC, CHAZ EQUIPMENT CO INC, CHAZ EQUIPMENT CO INC, CHAZ EQUIPMENT ENVIRONMENTAL SERVICES, INC., FLORIDA FLOW CONTROL, INC., CHAZ DEVELOPMENT LLC, CHAZ PROPERTIES, LLC, CHAZ 3231 LLC, CHAZ AIRCRAFT, LLC, CCW JUBILEE, LLC, CCW WILDWATERS LLC, CHAZ INVESTMENTS, LLC, CCW CENTER, LLC, RODNEY JONES, JAMES HARTMAN, CLIFFORD BEATTY, JASON FARANDA, SEAN WOODS, STEVEN WHITE, JANIS GRIFFIN, JANIS GRIFFIN, JANIS GRIFFIN, JAN GRIFFIN, JAN GRIFFIN, JAN GRIFFIN, STEVEN WHITE, STEVENS WHITE, STEVEN WHITE, STEPHEN WHITE, STEPHEN MACDONALD, STEPHEN MACDONALD, DAVID CATES, GARY CZAJKOWSKI, BRADLEY MILLER, KEVIN TROST, SHAWN PETTY, MARY CZAJKOWSKI, MICHAEL CZAJKOWSKI)",S4MR3R9DT,,
23619,Individual,,,DANIEL,JEWETT,DESLER,,,,,,EUGENE,OR,USA,97401,,Reciprocal,EPA,,Prohibition/Restriction,"REVIEW THIS INFORMATION PRIOR TO CONTACTING EPA:  Convicted of Clean Air Act Violation:  INELIGIBLE FOR AWARDS TO BE PERFORMED AT THIS FACILITY ONLY: Western States Land Reliance Trust, 401 Main Street, Suite D, Sweet Home, OR  97386  (Violating Facility). The Clean Air Act (42 U.S.C. 7606) forbids any Federal agency from entering into any contract, loan, or benefit to any person or company who- 1. Has been convicted of an offense under the Clean Air Act (42 U.S.C. 7413(c)); AND 2. Intends to use the place where or from which the offense happened (the violating facility) for the contract, loan or benefit; AND 3. Owns, leases or supervises the facility (where or from which the Clean Air Act offense occurred) at the time when a decision about the contract, loan or benefit is made.  ALL THREE CONDITIONS MUST BE PRESENT FOR A PERSON TO BE DENIED A CONTRACT, LOAN OR BENEFIT.   ",10/31/2012,Indefinite,,,S4MR4H701,,
